factor,view,base,family
tr_dir_10,raw,tr_dir_10,other
vol_flow_26,raw,vol_flow_26,volatility
csr_mom_x_volz_10,cross-sectional rank,mom_x_volz_10,momentum
updn_vol_ratio_8,raw,updn_vol_ratio_8,other
ret_ac1_26,raw,ret_ac1_26,other
rv_x_volz_26,raw,rv_x_volz_26,volatility
tr_dir_26,raw,tr_dir_26,other
dvol_10,raw,dvol_10,other
willr_42,raw,willr_42,oscillator
maxret_34,raw,maxret_34,other
tsz_bop_21_lag5,time-series zscore,bop_21_lag5,candle-geom
csr_volskew_10,cross-sectional rank,volskew_10,volatility
csz_mom_x_volz_8,cross-sectional zscore,mom_x_volz_8,momentum
tsz_tr_dir_8,time-series zscore,tr_dir_8,other
mfi_26,raw,mfi_26,other
csz_illiq_55,cross-sectional zscore,illiq_55,other
csz_mfi_6,cross-sectional zscore,mfi_6,other
effratio_72,raw,effratio_72,other
tsz_rv_x_volz_8,time-series zscore,rv_x_volz_8,volatility
tsz_mom_x_volz_8,time-series zscore,mom_x_volz_8,momentum
tsz_rv_x_volz_4,time-series zscore,rv_x_volz_4,volatility
oimom_26,raw,oimom_26,open-interest
mom_x_oimom_55,raw,mom_x_oimom_55,momentum
csr_bop_21_lag3,cross-sectional rank,bop_21_lag3,candle-geom
tsz_stoch_21,time-series zscore,stoch_21,oscillator
rsi_21_lag3,raw,rsi_21_lag3,oscillator
drawup_26,raw,drawup_26,range
bop_21_lag1,raw,bop_21_lag1,candle-geom
maxret_55,raw,maxret_55,other
mom_26,raw,mom_26,momentum
tsz_mfi_6,time-series zscore,mfi_6,other
tsz_rsi_10,time-series zscore,rsi_10,oscillator
csr_dvol_6,cross-sectional rank,dvol_6,other
vwap_dev_16,raw,vwap_dev_16,volume/price
csz_rv_x_volz_8,cross-sectional zscore,rv_x_volz_8,volatility
csz_tr_dir_34,cross-sectional zscore,tr_dir_34,other
csz_mfi_21_lag5,cross-sectional zscore,mfi_21_lag5,other
ret_ac1_13,raw,ret_ac1_13,other
tsz_mom_13_lag2,time-series zscore,mom_13_lag2,momentum
csr_mfi_34,cross-sectional rank,mfi_34,other
ret_ac1_21,raw,ret_ac1_21,other
csz_dvol_8,cross-sectional zscore,dvol_8,other
csz_roc_13,cross-sectional zscore,roc_13,momentum
tr_dir_55,raw,tr_dir_55,other
tsz_mom_x_volz_10,time-series zscore,mom_x_volz_10,momentum
csz_vol_flow_8,cross-sectional zscore,vol_flow_8,volatility
px_sma_42,raw,px_sma_42,trend
cpos_lag3,raw,cpos_lag3,candle-geom
csr_oipx_div_34,cross-sectional rank,oipx_div_34,open-interest
csr_ret_oi_corr_34,cross-sectional rank,ret_oi_corr_34,other
tsz_mom_accel,time-series zscore,mom_accel,momentum
pvcorr_34_lag1,raw,pvcorr_34_lag1,other
csr_turnover_z_42,cross-sectional rank,turnover_z_42,other
csz_oimom_34,cross-sectional zscore,oimom_34,open-interest
tsz_mom_x_oimom_8,time-series zscore,mom_x_oimom_8,momentum
csz_bop_21_lag2,cross-sectional zscore,bop_21_lag2,candle-geom
csz_mfi_21_lag3,cross-sectional zscore,mfi_21_lag3,other
csz_vwap_macd_10_42,cross-sectional zscore,vwap_macd_10_42,volume/price
csr_vwap_macd_13_55,cross-sectional rank,vwap_macd_13_55,volume/price
csr_upratio_8,cross-sectional rank,upratio_8,other
csz_body_pos_inter_13,cross-sectional zscore,body_pos_inter_13,candle-geom
csz_drawdn_21,cross-sectional zscore,drawdn_21,range
csr_ret_oi_corr_6,cross-sectional rank,ret_oi_corr_6,other
tsz_ema_diff_10_42,time-series zscore,ema_diff_10_42,trend
mom_x_oimom_21,raw,mom_x_oimom_21,momentum
updn_vol_ratio_10,raw,updn_vol_ratio_10,other
csz_dvol_72,cross-sectional zscore,dvol_72,other
volmom_42,raw,volmom_42,volatility
sharpe_26,raw,sharpe_26,momentum/risk-adj
csz_mom_x_volz_6,cross-sectional zscore,mom_x_volz_6,momentum
upratio_34,raw,upratio_34,other
csz_oipx_div_34,cross-sectional zscore,oipx_div_34,open-interest
csz_turnover_z_72,cross-sectional zscore,turnover_z_72,other
oimom_4,raw,oimom_4,open-interest
tsz_maxret_4,time-series zscore,maxret_4,other
tsz_ema_diff_8_34,time-series zscore,ema_diff_8_34,trend
ret_ac1_42,raw,ret_ac1_42,other
cmo_42,raw,cmo_42,oscillator
csz_body_pos_inter_16,cross-sectional zscore,body_pos_inter_16,candle-geom
csz_range_55,cross-sectional zscore,range_55,volatility/range
csz_vwap_macd_16_72,cross-sectional zscore,vwap_macd_16_72,volume/price
csz_stoch_21_lag1,cross-sectional zscore,stoch_21_lag1,oscillator
csr_mom_x_volz_4,cross-sectional rank,mom_x_volz_4,momentum
mom_42,raw,mom_42,momentum
csr_rsi_21_lag1,cross-sectional rank,rsi_21_lag1,oscillator
mom_x_oimom_4,raw,mom_x_oimom_4,momentum
csr_oimom_26,cross-sectional rank,oimom_26,open-interest
csz_oi_chg,cross-sectional zscore,oi_chg,open-interest
csz_illiq_42,cross-sectional zscore,illiq_42,other
csz_ema_diff_16_72,cross-sectional zscore,ema_diff_16_72,trend
csr_mom_x_volz_34,cross-sectional rank,mom_x_volz_34,momentum
csr_vwap_dev_8,cross-sectional rank,vwap_dev_8,volume/price
csr_mom_13_lag1,cross-sectional rank,mom_13_lag1,momentum
csr_mom_x_oimom_10,cross-sectional rank,mom_x_oimom_10,momentum
mom_x_volz_6,raw,mom_x_volz_6,momentum
mom_13_lag1,raw,mom_13_lag1,momentum
csz_vol_flow_10,cross-sectional zscore,vol_flow_10,volatility
csz_tr_dir_42,cross-sectional zscore,tr_dir_42,other
volz_21_lag2,raw,volz_21_lag2,volatility
willr_16,raw,willr_16,oscillator
csr_oipx_div_21,cross-sectional rank,oipx_div_21,open-interest
turnover_z_26,raw,turnover_z_26,other
ret_ac1_4,raw,ret_ac1_4,other
oimom_8,raw,oimom_8,open-interest
csr_bop_21_lag5,cross-sectional rank,bop_21_lag5,candle-geom
drawdn_16,raw,drawdn_16,range
csz_updn_vol_ratio_13,cross-sectional zscore,updn_vol_ratio_13,other
vol_regime,raw,vol_regime,volatility
oipx_div_8,raw,oipx_div_8,open-interest
ret_ac2_10,raw,ret_ac2_10,other
csz_oiz_42,cross-sectional zscore,oiz_42,open-interest
csr_vwap_macd_3_13,cross-sectional rank,vwap_macd_3_13,volume/price
tsz_upratio_8,time-series zscore,upratio_8,other
csz_mfi_72,cross-sectional zscore,mfi_72,other
csz_vwap_macd_13_55,cross-sectional zscore,vwap_macd_13_55,volume/price
amtmom_42,raw,amtmom_42,other
csz_vwap_macd_8_34,cross-sectional zscore,vwap_macd_8_34,volume/price
tsz_rv_8,time-series zscore,rv_8,volatility
stoch_34,raw,stoch_34,oscillator
csr_mom_x_oimom_6,cross-sectional rank,mom_x_oimom_6,momentum
px_sma_21,raw,px_sma_21,trend
csz_upsh_8,cross-sectional zscore,upsh_8,other
csr_pvcorr_4,cross-sectional rank,pvcorr_4,other
csr_kurt_6,cross-sectional rank,kurt_6,other
ret_ac1_34,raw,ret_ac1_34,other
volskew_34,raw,volskew_34,volatility
rsi_42,raw,rsi_42,oscillator
csz_rsi_13,cross-sectional zscore,rsi_13,oscillator
vol_flow_55,raw,vol_flow_55,volatility
volmom_72,raw,volmom_72,volatility
csz_cci_72,cross-sectional zscore,cci_72,oscillator
csz_turnover_z_34,cross-sectional zscore,turnover_z_34,other
csr_kurt_8,cross-sectional rank,kurt_8,other
volz_21_lag3,raw,volz_21_lag3,volatility
csz_illiq_13,cross-sectional zscore,illiq_13,other
mom_x_volz_34,raw,mom_x_volz_34,momentum
tr_dir_21,raw,tr_dir_21,other
csz_body_pos_inter_21,cross-sectional zscore,body_pos_inter_21,candle-geom
csr_volz_4,cross-sectional rank,volz_4,volatility
csz_shadow_imb_4,cross-sectional zscore,shadow_imb_4,candle-geom
csz_maxret_55,cross-sectional zscore,maxret_55,other
csz_mom_x_oimom_4,cross-sectional zscore,mom_x_oimom_4,momentum
csr_maxret_6,cross-sectional rank,maxret_6,other
csz_cci_21_lag1,cross-sectional zscore,cci_21_lag1,oscillator
csz_drawup_55,cross-sectional zscore,drawup_55,range
csz_oiz_55,cross-sectional zscore,oiz_55,open-interest
csr_mom_x_volz_42,cross-sectional rank,mom_x_volz_42,momentum
tsz_cpos_8,time-series zscore,cpos_8,candle-geom
csz_rsi_72,cross-sectional zscore,rsi_72,oscillator
csr_oi_accel,cross-sectional rank,oi_accel,open-interest
csz_vol_flow_42,cross-sectional zscore,vol_flow_42,volatility
drawup_55,raw,drawup_55,range
csz_dvol_34,cross-sectional zscore,dvol_34,other
tsz_rv_x_volz_13,time-series zscore,rv_x_volz_13,volatility
csz_vol_flow_72,cross-sectional zscore,vol_flow_72,volatility
tsz_park_3,time-series zscore,park_3,volatility
volskew_10,raw,volskew_10,volatility
csr_oipx_div_8,cross-sectional rank,oipx_div_8,open-interest
csz_tr_dir_72,cross-sectional zscore,tr_dir_72,other
csr_shadow_vol_diff_4,cross-sectional rank,shadow_vol_diff_4,candle-geom
tsz_effratio_55,time-series zscore,effratio_55,other
tsz_mom_x_oimom_26,time-series zscore,mom_x_oimom_26,momentum
tsz_mom_13_lag3,time-series zscore,mom_13_lag3,momentum
tsz_rv_5,time-series zscore,rv_5,volatility
upratio_72,raw,upratio_72,other
csz_amtmom_42,cross-sectional zscore,amtmom_42,other
csz_effratio_10,cross-sectional zscore,effratio_10,other
csz_maxret_8,cross-sectional zscore,maxret_8,other
csz_oipx_div_42,cross-sectional zscore,oipx_div_42,open-interest
csz_effratio_26,cross-sectional zscore,effratio_26,other
csr_amtz_8,cross-sectional rank,amtz_8,other
volmom_55,raw,volmom_55,volatility
tsz_rv_10,time-series zscore,rv_10,volatility
cci_42,raw,cci_42,oscillator
stoch_55,raw,stoch_55,oscillator
csz_maxret_42,cross-sectional zscore,maxret_42,other
mfi_34,raw,mfi_34,other
tsz_rsi_21_lag1,time-series zscore,rsi_21_lag1,oscillator
csr_mom_x_volz_6,cross-sectional rank,mom_x_volz_6,momentum
tsz_rv_3,time-series zscore,rv_3,volatility
csz_skew_16,cross-sectional zscore,skew_16,other
csz_illiq_26,cross-sectional zscore,illiq_26,other
csz_mom_72,cross-sectional zscore,mom_72,momentum
csr_turnover_z_10,cross-sectional rank,turnover_z_10,other
vwap_dev_34,raw,vwap_dev_34,volume/price
csz_sharpe_2,cross-sectional zscore,sharpe_2,momentum/risk-adj
ret_ac1_72,raw,ret_ac1_72,other
oipx_div_55,raw,oipx_div_55,open-interest
csr_skew_55,cross-sectional rank,skew_55,other
stoch_21_lag1,raw,stoch_21_lag1,oscillator
csz_vol_flow_34,cross-sectional zscore,vol_flow_34,volatility
ret_ac2_8,raw,ret_ac2_8,other
tsz_upratio_10,time-series zscore,upratio_10,other
csz_cci_21,cross-sectional zscore,cci_21,oscillator
csz_maxret_72,cross-sectional zscore,maxret_72,other
ret_ac2_4,raw,ret_ac2_4,other
volskew_26,raw,volskew_26,volatility
csr_shadow_imb_10,cross-sectional rank,shadow_imb_10,candle-geom
tsz_dvol_13,time-series zscore,dvol_13,other
csz_mom_x_oimom_42,cross-sectional zscore,mom_x_oimom_42,momentum
ret_ac2_13,raw,ret_ac2_13,other
ret_ac2_16,raw,ret_ac2_16,other
csz_mom_x_oimom_34,cross-sectional zscore,mom_x_oimom_34,momentum
csr_oipx_div_42,cross-sectional rank,oipx_div_42,open-interest
csr_mfi_42,cross-sectional rank,mfi_42,other
csr_mom_x_oimom_16,cross-sectional rank,mom_x_oimom_16,momentum
csr_rv_x_volz_6,cross-sectional rank,rv_x_volz_6,volatility
csz_atr_42,cross-sectional zscore,atr_42,volatility
csr_maxret_55,cross-sectional rank,maxret_55,other
turnover_z_8,raw,turnover_z_8,other
csz_pacorr_34,cross-sectional zscore,pacorr_34,other
oi_accel,raw,oi_accel,open-interest
csr_dvol_8,cross-sectional rank,dvol_8,other
ret_ac2_55,raw,ret_ac2_55,other
tsz_atr_4,time-series zscore,atr_4,volatility
amtmom_55,raw,amtmom_55,other
csz_vwap_macd_3_13,cross-sectional zscore,vwap_macd_3_13,volume/price
csz_mom_x_oimom_55,cross-sectional zscore,mom_x_oimom_55,momentum
csr_rv_x_volz_10,cross-sectional rank,rv_x_volz_10,volatility
tsz_drawup_21,time-series zscore,drawup_21,range
csr_mfi_26,cross-sectional rank,mfi_26,other
csz_rsi_34,cross-sectional zscore,rsi_34,oscillator
csz_maxret_16,cross-sectional zscore,maxret_16,other
csr_roc_34,cross-sectional rank,roc_34,momentum
csr_amtmom_42,cross-sectional rank,amtmom_42,other
csz_rv_x_volz_13,cross-sectional zscore,rv_x_volz_13,volatility
csr_mom_x_oimom_4,cross-sectional rank,mom_x_oimom_4,momentum
csr_oimom_42,cross-sectional rank,oimom_42,open-interest
csr_bop_21_lag1,cross-sectional rank,bop_21_lag1,candle-geom
csz_mfi_21_lag1,cross-sectional zscore,mfi_21_lag1,other
minret_5,raw,minret_5,other
csr_shadow_imb_8,cross-sectional rank,shadow_imb_8,candle-geom
effratio_26,raw,effratio_26,other
stoch_42,raw,stoch_42,oscillator
rv_x_volz_42,raw,rv_x_volz_42,volatility
csz_pvcorr_34_lag3,cross-sectional zscore,pvcorr_34_lag3,other
csr_upratio_10,cross-sectional rank,upratio_10,other
csr_shadow_imb_13,cross-sectional rank,shadow_imb_13,candle-geom
csz_oimom_42,cross-sectional zscore,oimom_42,open-interest
volz_21_lag1,raw,volz_21_lag1,volatility
csz_px_sma_72,cross-sectional zscore,px_sma_72,trend
csz_mfi_8,cross-sectional zscore,mfi_8,other
vol_flow_8,raw,vol_flow_8,volatility
rv_x_volz_72,raw,rv_x_volz_72,volatility
csz_volskew_13,cross-sectional zscore,volskew_13,volatility
csz_oiz_72,cross-sectional zscore,oiz_72,open-interest
csr_roc_42,cross-sectional rank,roc_42,momentum
tsz_park_8,time-series zscore,park_8,volatility
turnover_z_16,raw,turnover_z_16,other
csz_mom_x_volz_42,cross-sectional zscore,mom_x_volz_42,momentum
pacorr_42,raw,pacorr_42,other
csr_mom_x_oimom_13,cross-sectional rank,mom_x_oimom_13,momentum
csr_ret_ac1_4,cross-sectional rank,ret_ac1_4,other
csz_oimom_10,cross-sectional zscore,oimom_10,open-interest
amtmom_72,raw,amtmom_72,other
csr_bollz_55,cross-sectional rank,bollz_55,oscillator/mean-rev
macd_16_72,raw,macd_16_72,momentum/trend
csz_upsh_21,cross-sectional zscore,upsh_21,other
csz_mom_16,cross-sectional zscore,mom_16,momentum
cmo_55,raw,cmo_55,oscillator
csr_vol_flow_13,cross-sectional rank,vol_flow_13,volatility
csr_vwap_dev_55,cross-sectional rank,vwap_dev_55,volume/price
csr_skew_42,cross-sectional rank,skew_42,other
vol_flow_16,raw,vol_flow_16,volatility
csz_illiq_6,cross-sectional zscore,illiq_6,other
csz_oimom_16,cross-sectional zscore,oimom_16,open-interest
pvcorr_34_lag5,raw,pvcorr_34_lag5,other
csz_vwap_macd_5_21,cross-sectional zscore,vwap_macd_5_21,volume/price
csz_oimom_72,cross-sectional zscore,oimom_72,open-interest
oipx_div_42,raw,oipx_div_42,open-interest
amtz_72,raw,amtz_72,other
csr_turnover_z_26,cross-sectional rank,turnover_z_26,other
csz_cmo_16,cross-sectional zscore,cmo_16,oscillator
csr_rv_55,cross-sectional rank,rv_55,volatility
csr_mom_x_volz_8,cross-sectional rank,mom_x_volz_8,momentum
tsz_mfi_8,time-series zscore,mfi_8,other
csr_effratio_55,cross-sectional rank,effratio_55,other
csr_turnover_z_55,cross-sectional rank,turnover_z_55,other
cci_55,raw,cci_55,oscillator
csz_effratio_34,cross-sectional zscore,effratio_34,other
effratio_42,raw,effratio_42,other
kurt_16,raw,kurt_16,other
volmom_26,raw,volmom_26,volatility
csz_volskew_16,cross-sectional zscore,volskew_16,volatility
csz_vwap_macd_5_55,cross-sectional zscore,vwap_macd_5_55,volume/price
ret_ac2_6,raw,ret_ac2_6,other
csz_shadow_imb_42,cross-sectional zscore,shadow_imb_42,candle-geom
csr_maxret_42,cross-sectional rank,maxret_42,other
ret_oi_corr_4,raw,ret_oi_corr_4,other
csz_pacorr_72,cross-sectional zscore,pacorr_72,other
volskew_42,raw,volskew_42,volatility
body_pos_inter_72,raw,body_pos_inter_72,candle-geom
csz_oimom_55,cross-sectional zscore,oimom_55,open-interest
csz_bop_21,cross-sectional zscore,bop_21,candle-geom
volmom_16,raw,volmom_16,volatility
csz_ret_ac1_55,cross-sectional zscore,ret_ac1_55,other
amtmom_16,raw,amtmom_16,other
oimom_21,raw,oimom_21,open-interest
kurt_21,raw,kurt_21,other
oipx_div_34,raw,oipx_div_34,open-interest
csr_illiq_34,cross-sectional rank,illiq_34,other
csz_shadow_imb_34,cross-sectional zscore,shadow_imb_34,candle-geom
tsz_dvol_16,time-series zscore,dvol_16,other
stoch_21_lag2,raw,stoch_21_lag2,oscillator
csz_atr_13,cross-sectional zscore,atr_13,volatility
pacorr_26,raw,pacorr_26,other
csr_shadow_imb_6,cross-sectional rank,shadow_imb_6,candle-geom
vwap_macd_3_13,raw,vwap_macd_3_13,volume/price
vol_flow_10,raw,vol_flow_10,volatility
tsz_dvol_21,time-series zscore,dvol_21,other
px_sma_55,raw,px_sma_55,trend
oimom_55,raw,oimom_55,open-interest
tsz_park_10,time-series zscore,park_10,volatility
csz_mom_x_oimom_8,cross-sectional zscore,mom_x_oimom_8,momentum
csr_shadow_vol_diff_10,cross-sectional rank,shadow_vol_diff_10,candle-geom
csr_shadow_vol_diff_42,cross-sectional rank,shadow_vol_diff_42,candle-geom
vol_flow_21,raw,vol_flow_21,volatility
tsz_mfi_10,time-series zscore,mfi_10,other
csz_maxret_10,cross-sectional zscore,maxret_10,other
csz_oimom_4,cross-sectional zscore,oimom_4,open-interest
csr_ema_diff_13_55,cross-sectional rank,ema_diff_13_55,trend
csr_shadow_imb_26,cross-sectional rank,shadow_imb_26,candle-geom
csr_oipx_div_26,cross-sectional rank,oipx_div_26,open-interest
tsz_roc_34,time-series zscore,roc_34,momentum
tsz_vol_flow_42,time-series zscore,vol_flow_42,volatility
csz_oipx_div_55,cross-sectional zscore,oipx_div_55,open-interest
tsz_maxret_5,time-series zscore,maxret_5,other
csr_oimom_55,cross-sectional rank,oimom_55,open-interest
csr_volz_21_lag2,cross-sectional rank,volz_21_lag2,volatility
roc_13,raw,roc_13,momentum
csz_rv_x_volz_26,cross-sectional zscore,rv_x_volz_26,volatility
skew_13,raw,skew_13,other
amtmom_26,raw,amtmom_26,other
csr_bollz_42,cross-sectional rank,bollz_42,oscillator/mean-rev
csz_oipx_div_21,cross-sectional zscore,oipx_div_21,open-interest
effratio_34,raw,effratio_34,other
csr_tr_dir_13,cross-sectional rank,tr_dir_13,other
volz_6,raw,volz_6,volatility
csz_mfi_10,cross-sectional zscore,mfi_10,other
ret_ac2_26,raw,ret_ac2_26,other
csr_rv_42,cross-sectional rank,rv_42,volatility
csr_ret_ac1_13,cross-sectional rank,ret_ac1_13,other
csz_mom_x_oimom_6,cross-sectional zscore,mom_x_oimom_6,momentum
csz_pvcorr_10,cross-sectional zscore,pvcorr_10,other
kurt_8,raw,kurt_8,other
csz_vol_regime,cross-sectional zscore,vol_regime,volatility
csr_updn_vol_ratio_16,cross-sectional rank,updn_vol_ratio_16,other
csr_kurt_13,cross-sectional rank,kurt_13,other
csz_body_pos_inter_26,cross-sectional zscore,body_pos_inter_26,candle-geom
csz_ret_oi_corr_55,cross-sectional zscore,ret_oi_corr_55,other
csr_drawup_55,cross-sectional rank,drawup_55,range
csr_rv_2,cross-sectional rank,rv_2,volatility
vwap_dev_55,raw,vwap_dev_55,volume/price
tsz_tr_dir_42,time-series zscore,tr_dir_42,other
mom_x_volz_42,raw,mom_x_volz_42,momentum
tsz_minret_21,time-series zscore,minret_21,other
csz_rv_2,cross-sectional zscore,rv_2,volatility
csr_body_8,cross-sectional rank,body_8,candle-geom
csz_upratio_72,cross-sectional zscore,upratio_72,other
csz_maxret_34,cross-sectional zscore,maxret_34,other
csz_minret_42,cross-sectional zscore,minret_42,other
skew_72,raw,skew_72,other
mom_55,raw,mom_55,momentum
csz_tr_dir_55,cross-sectional zscore,tr_dir_55,other
csr_ema_diff_5_21,cross-sectional rank,ema_diff_5_21,trend
sharpe_2,raw,sharpe_2,momentum/risk-adj
tsz_rv_13,time-series zscore,rv_13,volatility
csr_atr_34,cross-sectional rank,atr_34,volatility
csr_ret_ac2_55,cross-sectional rank,ret_ac2_55,other
oimom_42,raw,oimom_42,open-interest
stoch_21_lag5,raw,stoch_21_lag5,oscillator
csz_minret_10,cross-sectional zscore,minret_10,other
csz_ret_ac1_72,cross-sectional zscore,ret_ac1_72,other
